id,case_number,date,block,primary_type,description,location_description,latitude,longitude,gc_address,gc_score,gc_lat,gc_lng,distance_m
14122603,JK163838,2026-02-27T00:00:00.000,023XX N WESTERN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.924348356,-87.687624607,"23 N Western Ave, Chicago, Illinois, 60612",97.71,41.881893231478,-87.686393767449,4721.893321538956
14127318,JK169260,2026-02-27T00:00:00.000,018XX W CHICAGO AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,41.895969127,-87.673427914,"18 W Chicago Ave, Chicago, Illinois, 60654",97.71,41.896793363568,-87.629005474797,3677.9144150464954
14123539,JK164866,2026-02-27T00:00:00.000,085XX S CALIFORNIA AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,41.739125643,-87.692348774,"85 S California Ave, Chicago, Illinois, 60612",97.79,41.880294940687,-87.696213328677,15700.5771088904
14127412,JK169721,2026-02-27T00:00:00.000,060XX S MOODY AVE,THEFT,$500 AND UNDER,RESIDENCE,41.782630553,-87.775340193,"S Moody Ave, Chicago, Illinois, 60638",92.39,41.780544749031,-87.775264555115,232.01560016265933
14123737,JK165191,2026-02-27T00:00:00.000,046XX S WINCHESTER AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.809497963,-87.673501841,"S Winchester Ave, Chicago, Illinois, 60620",93.75,41.746529341282,-87.671844693656,7003.139541092125
14122483,JK163723,2026-02-27T00:00:00.000,015XX S LAWNDALE AVE,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,41.86000175,-87.717672952,"S Lawndale Ave, Chicago, Illinois, 60652",93.27,41.742317510638,-87.714385169183,13088.727935311827
14126474,JK168566,2026-02-27T00:00:00.000,001XX W OAK ST,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,41.900546929,-87.633632427,"1 W Oak St, Chicago, Illinois, 60610",97.51,41.900527928722,-87.628358475803,436.49298423978524
14122756,JK164075,2026-02-27T00:00:00.000,038XX N BROADWAY,THEFT,OVER $500,RESTAURANT,41.951617169,-87.649620689,"N Broadway, Chicago, Illinois, 60660",92.39,41.991362264031,-87.660314052281,4507.00276662472
14122997,JK164371,2026-02-27T00:00:00.000,045XX N CLARENDON AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.963880376,-87.649971265,"N Clarendon Ave, Chicago, Illinois, 60613",93.52,41.956551370781,-87.649745317277,815.1623182881531
14124316,JK165950,2026-02-27T00:00:00.000,015XX N SEDGWICK ST,THEFT,FROM BUILDING,APARTMENT,41.910022484,-87.63855839,"N Sedgwick St, Chicago, Illinois, 60614",93.0,41.917023695602,-87.638761244567,778.6801471013365
14124215,JK165122,2026-02-27T00:00:00.000,013XX N BELL AVE,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,41.905842379,-87.683443248,"N Bell Ave, Chicago, Illinois, 60625",92.05,41.970470516722,-87.685297525706,7187.957561178435
14123968,JK164701,2026-02-26T23:59:00.000,019XX W Nelson St,THEFT,OVER $500,STREET,41.936854423,-87.677089885,"W Nelson St, Chicago, Illinois, 60618",92.39,41.93666934811,-87.697950579274,1725.635995549981
14122313,JK163385,2026-02-26T23:50:00.000,049XX W WABANSIA AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.911403881,-87.750203842,"W Wabansia Ave, Chicago, Illinois, 60639",93.27,41.911233830027,-87.764563255792,1188.3775170911733
14122338,JK163372,2026-02-26T23:39:00.000,021XX S CHRISTIANA AVE,BATTERY,SIMPLE,RESIDENCE,41.852709765,-87.708940962,"S Christiana Ave, Chicago, Illinois, 60652",93.75,41.744591313035,-87.70591024738,12024.848055442375
14122311,JK163425,2026-02-26T23:38:00.000,074XX S EMERALD AVE,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,STREET,41.759350961,-87.64304489,"S Emerald Ave, Chicago, Illinois, 60620",93.0,41.750603704514,-87.642837770667,972.8022719622844
14122535,JK163663,2026-02-26T23:35:00.000,074XX W ROSEDALE AVE,BURGLARY,BURGLARY FROM MOTOR VEHICLE,RESIDENCE,41.98566269,-87.813074239,"W Rosedale Ave, Chicago, Illinois, 60660",93.27,41.988976259016,-87.662666309145,12436.732938484693
14122301,JK163363,2026-02-26T23:26:00.000,025XX W MARQUETTE RD,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,41.771924425,-87.68675442,"25 W Marquette Rd, Chicago, Illinois, 60621",97.74,41.772594717423,-87.625347427849,5092.967166580622
14122316,JK163371,2026-02-26T23:15:00.000,005XX W 117TH ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,41.681526142,-87.635087768,"W 117th St, Chicago, Illinois, 60643",92.05,41.681676302519,-87.669776397949,2880.80473355294
14122280,JK163359,2026-02-26T23:02:00.000,039XX W ROOSEVELT RD,BATTERY,SIMPLE,GAS STATION,41.866184544,-87.724361483,"39 W Roosevelt Rd, Chicago, Illinois, 60605",97.74,41.867315073915,-87.628274151521,7957.672072954433
14123536,JK164908,2026-02-26T23:00:00.000,037XX S WASHTENAW AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.825293027,-87.69222748,"37 S Washtenaw Ave, Chicago, Illinois, 60612",97.77,41.880777628019,-87.693854159911,6171.077038473003
14122370,JK163470,2026-02-26T23:00:00.000,112XX S VERNON AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.690481602,-87.612093277,"S Vernon Ave, Chicago, Illinois, 60616",92.71,41.841557059845,-87.615661960595,16801.431628192866
14122816,JK163985,2026-02-26T23:00:00.000,026XX W NORTH AVE,CRIMINAL DAMAGE,TO VEHICLE,OTHER (SPECIFY),41.910260556,-87.692715243,"26 W North Ave, Chicago, Illinois, 60610",97.64,41.911271302654,-87.630070692358,5185.036678036587
14122675,JK163927,2026-02-26T23:00:00.000,010XX N SPRINGFIELD AVE,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,41.899798457,-87.723774067,"N Springfield Ave, Chicago, Illinois, 60625",93.97,41.966003638279,-87.725501581821,7363.067118565204
14122333,JK163353,2026-02-26T23:00:00.000,025XX W 63RD ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESTAURANT,41.77921113,-87.686860878,"25 W 63rd St, Chicago, Illinois, 60621",96.56,41.779981088259,-87.625615785505,5079.136256704208
14122329,JK163438,2026-02-26T23:00:00.000,068XX S CORNELL AVE,BURGLARY,UNLAWFUL ENTRY,APARTMENT,41.770917101,-87.585015112,"S Cornell Ave, Chicago, Illinois, 60617",93.0,41.746159733184,-87.584189070957,2753.746239466341
14122265,JK163380,2026-02-26T23:00:00.000,003XX N CENTRAL AVE,THEFT,OVER $500,APARTMENT,41.886275336,-87.765078145,"3 N Central Ave, Chicago, Illinois, 60644",97.71,41.880396758099,-87.76478842441,654.1079156512807
14123068,JK163479,2026-02-26T23:00:00.000,004XX N MILWAUKEE AVE,THEFT,OVER $500,STREET,41.890839244,-87.647055604,"N Milwaukee Ave, Chicago, Illinois, 60618",93.52,41.936599187825,-87.719729031686,7877.298027014251
14122319,JK163365,2026-02-26T23:00:00.000,086XX S PHILLIPS AVE,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,41.738480671,-87.564822093,"S Phillips Ave, Chicago, Illinois, 60617",93.27,41.729066353547,-87.564582325309,1047.0133866398758
14122307,JK163358,2026-02-26T22:53:00.000,079XX S LOOMIS BLVD,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,STREET,41.74938252,-87.658561459,"79 S Loomis St, Chicago, Illinois, 60607",95.58,41.880809095595,-87.661861763579,14616.527630031333
14122288,JK163342,2026-02-26T22:47:00.000,013XX S RACINE AVE,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,41.864702155,-87.656616008,"13 S Racine Ave, Chicago, Illinois, 60607",97.68,41.881455880144,-87.657067876527,1863.3049023433664
14123135,JK164230,2026-02-26T22:45:00.000,008XX W MONROE ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,COMMERCIAL / BUSINESS OFFICE,41.880486341,-87.647702522,"8 W Monroe St, Chicago, Illinois, 60603",97.64,41.880767877158,-87.628143312236,1619.5855327729728
14122443,JK163453,2026-02-26T22:45:00.000,023XX S OAKLEY AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,41.84989365,-87.683132652,"23 S Oakley Blvd, Chicago, Illinois, 60612",95.55,41.880455064532,-87.683914149033,3398.890387475017
14122277,JK163409,2026-02-26T22:40:00.000,051XX S WABASH AVE,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - YARD (FRONT / BACK),41.800872825,-87.624243294,"51 S Wabash Ave, Chicago, Illinois, 60637",97.68,41.772712614281,-87.623962418932,3131.3591587814635
14122271,JK163347,2026-02-26T22:40:00.000,051XX W SUNNYSIDE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,41.962452201,-87.755687706,"W Sunnyside Ave, Chicago, Illinois, 60625",93.52,41.962979125941,-87.711917186289,3619.522950987549
14122282,JK163368,2026-02-26T22:33:00.000,032XX W GRACE ST,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,41.950271567,-87.708695559,"W Grace St, Chicago, Illinois, 60634",92.05,41.948915705106,-87.806487127673,8088.704850942819
14122367,JK163452,2026-02-26T22:30:00.000,019XX W MADISON ST,CRIMINAL TRESPASS,TO LAND,SPORTS ARENA / STADIUM,41.881348623,-87.674525788,"19 W Madison St, Chicago, Illinois, 60602",97.68,41.881975029522,-87.628536770272,3807.9496800018333
14122300,JK163399,2026-02-26T22:30:00.000,063XX N BROADWAY,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,41.997031894,-87.6604655,"N Broadway, Chicago, Illinois, 60660",92.39,41.991362264031,-87.660314052281,630.5583135222935
14122260,JK163354,2026-02-26T22:27:00.000,070XX S SOUTH SHORE DR,CRIMINAL TRESPASS,TO LAND,APARTMENT,41.767847633,-87.566498814,"S South Shore Dr, Chicago, Illinois, 60615",93.52,41.796910239026,-87.580964328029,3447.0195138587264
14123040,JK163477,2026-02-26T22:20:00.000,0000X W Randolph St,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,41.884485451,-87.628783943,"0 W Randolph St, Chicago, Illinois, 60601",98.89,41.884582132302,-87.628016114951,64.46635402903885
14122230,JK163330,2026-02-26T22:19:00.000,056XX S MICHIGAN AVE,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,41.792090686,-87.622396554,"56 S Michigan Ave, Chicago, Illinois, 60603",97.74,41.881376161278,-87.624524756978,9929.65730820901
